;------Kaca--------;,,,,
CreateMeshBuilder,,,,
GenerateNormals,,,,
,,,,
; - Gagang handle,,,,
CreateMeshBuilder,,,,
Cylinder,15,0.03,0.03,0.09
SetColor,50,50,50,
Translate,1.18,2.09,-19.21,
,,,,
CreateMeshBuilder,,,,
Cube,0.01,0.01,0.06,
SetColor,50,50,50,
Translate,1.18,2.125,-19.17,
,,,,
; Kanan,,,,
; - Penyangga,,,,
CreateMeshBuilder,,,,
Cube,0.07,0.1,0.05,
SetColor,80,80,80,
Translate,0.67,2,-19.21,
,,,,
; - Kendali,,,,
CreateMeshBuilder,,,,
Cylinder,15,0.05,0.05,0.05
SetColor,60,60,60,
Translate,0.67,2.09,-19.21,
GenerateNormals,,,,
,,,,
; - Gagang handle,,,,
CreateMeshBuilder,,,,
Cylinder,15,0.03,0.03,0.09
SetColor,50,50,50,
Translate,0.67,2.09,-19.21,
GenerateNormals,,,,
,,,,
CreateMeshBuilder,,,,
Cube,0.01,0.01,0.06,
SetColor,50,50,50,
Translate,0.67,2.125,-19.17,
GenerateNormals,,,,
,,,,
; Panel kendali,,,,
CreateMeshBuilder,,,,
Cube,0.45,0.42,0.15,
SetColor,48,73,59,
Translate,0.925,1.65,-19.3,
GenerateNormals,,,,
,,,,
CreateMeshBuilder,,;//ÅeO? Åe??Åh,,
AddVertex,1.24,2.07,-19.297,
AddVertex,0.61,2.07,-19.297,
AddVertex,0.61,2.23,-19.4,
AddVertex,1.24,2.23,-19.4,
AddFace,3,2,1,0
LoadTexture,paneli.bmp,paneli.bmp,,
SetTextureCoordinates,0,1,1,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,1,0,
SetDecalTransparentColor,0,0,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,0.61,2.07,-19.297,
AddVertex,0.61,2.23,-19.4,
AddVertex,0.61,2.07,-19.4,
AddVertex,0.61,2.07,-19.297,
AddFace2,0,1,2,3
SetColor,48,73,59,
GenerateNormals,,,,
,,,,
CreateMeshBuilder,,,,
AddVertex,1.24,2.07,-19.297,
AddVertex,1.24,2.23,-19.4,
AddVertex,1.24,2.07,-19.4,
AddVertex,1.24,2.07,-19.297,
AddFace2,0,1,2,3
SetColor,48,73,59,
GenerateNormals,,,,
,,,,
CreateMeshBuilder,,,,
Cube,0.315,0.11,0.015,
SetColor,48,73,59,
Translate,0.925,2.12,-19.415,
GenerateNormals,,,,
,,,,
;----- Panel kanan -----,,,,
; panel workspace,,,,
CreateMeshBuilder,,,,
AddVertex,-1.37,2.1,-19.45,
AddVertex,-1.37,2.1,-19.2,
AddVertex,-0.46,2.1,-19.2,
AddVertex,-0.46,2.1,-19.45,
AddFace2,3,2,1, 0 ; top
AddVertex,-1.37,2.1,-19.2,
AddVertex,-1.37,1.2,-19.2,
AddVertex,-0.46,1.2,-19.2,
AddVertex,-0.46,2.1,-19.2,
AddFace2,7,6,5, 4 ; front
AddVertex,-0.46,2.1,-19.2,
AddVertex,-0.46,1.2,-19.2,
AddVertex,-0.46,1.2,-19.45,
AddVertex,-0.46,2.1,-19.45,
AddFace2,8,9,10, 11 ; right
AddVertex,-1.37,1.2,-19.2,
AddVertex,-1.37,2.1,-19.2,
AddVertex,-1.37,2.1,-19.45,
AddVertex,-1.37,1.2,-19.45,
AddFace2,12,13,14, 15 ; left
SetColor,48,73,59,
,,,,
;----- Kursi masinis -----,,,,
;Penyangga,,,,
CreateMeshBuilder,,,,
Cylinder,10,0.05,0.05,0.5
SetColor,50,50,50,
Translate,0.93,1.45,-18.72,
GenerateNormals,,,,
,,,,
;Lantai kiri,,,,
CreateMeshBuilder,,,,
Cube,0.46,0.07,0.48,
SetColor,172,143,119,
Translate,0.91,1.18,-18.94,
GenerateNormals,,,,
,,,,
;Lantai kanan,,,,
CreateMeshBuilder,,,,
Cube,0.46,0.07,0.48,
SetColor,172,143,119,
Translate,-0.91,1.18,-18.94,
GenerateNormals,,,,
,,,,
;Horizontal,,,,
CreateMeshBuilder,,,,
Cube,0.3,0.03,0.21,
SetColor,255,255,0,
Translate,0.93,1.68,-18.75,
GenerateNormals,,,,
,,,,
;Vertikal,,,,
CreateMeshBuilder,,,,
Cube,0.3,0.2,0.02,
SetColor,255,255,0,
Translate,0.93,1.85,-18.52,
,,,,
translateall,0,0,10,
rotateall,0,1,0,180
